emoji_list,klasifikasi,makna
😀,pujian,"Wajah tersenyum lebar, kebahagiaan."
😁,pujian,"Mata dan senyum gembira, tawa."
😂,pujian,"Menangis karena tertawa, sangat lucu."
😃,pujian,"Mata lebar, senyum lebar, kegembiraan."
😄,pujian,"Senyum dengan mata menyipit, kebahagiaan yang tulus."
😅,pujian,"Senyum dengan keringat dingin (bahagia lega, atau tawa canggung)."
😆,pujian,Tawa yang terbahak-bahak.
😇,pujian,"Wajah tersenyum dengan lingkaran cahaya, kepolosan, niat baik."
😉,pujian,"Mengedip, bermain-main, humor."
😊,pujian,"Mata tersenyum, pipi merona, senang, puas."
😋,pujian,"Menjulurkan lidah, menikmati makanan/situasi."
😌,pujian,"Santai, lega, damai."
😍,pujian,"Mata hati, cinta, tergila-gila."
😎,pujian,"Kacamata hitam, keren, percaya diri."
😘,pujian,"Mengirim ciuman, kasih sayang."
😚,pujian,"Mata tertutup, ciuman, keintiman."
😛,pujian,"Menjulurkan lidah, bermain-main, konyol."
😜,pujian,"Mengedip dan menjulurkan lidah, genit, bercanda."
😝,pujian,Tertawa terbahak-bahak sambil menjulurkan lidah.
😺,pujian,Wajah kucing tersenyum.
😹,pujian,Wajah kucing menangis bahagia (tertawa).
😻,pujian,Wajah kucing mata hati (cinta).
🙂,pujian,"Senyum sederhana, keramahan."
🙃,pujian,"Wajah terbalik, bercanda, sarkasme ringan, kebodohan."
🤗,pujian,"Memeluk, kasih sayang, kenyamanan."
🤩,pujian,"Mata bintang, kagum, terkesan."
🥳,pujian,"Pesta, perayaan, selamat."
🥰,pujian,"Wajah dengan tiga hati, sangat dicintai."
🥲,pujian,"Senyum sambil menangis, bahagia sekaligus sedih/lega."
🥹,pujian,"Mata berkaca-kaca, penuh haru, tersentuh."
🤙,pujian,"Shaka sign / Call me, santai, keren."
🤟,pujian,"I Love You Sign, cinta atau dukungan."
🤝,pujian,"Jabat tangan, setuju, kerja sama."
🫶,pujian,"Tangan membentuk hati, cinta, dukungan."
🫰,pujian,"Finger heart (jari hati), cinta (Korea/K-pop)."
👍,pujian,"Jempol ke atas, setuju, bagus."
👌,pujian,"Tanda OK, sempurna, baik."
👏,pujian,"Tepuk tangan, apresiasi, pujian."
🙌,pujian,"Dua tangan diangkat, perayaan, sukses."
🙏,pujian,"Tangan berdoa, memohon, terima kasih, rasa syukur."
💓,pujian,"Jantung berdetak, kasih sayang."
💕,pujian,"Dua hati, kasih sayang."
💖,pujian,"Hati berkilauan, cinta bersinar."
"💙, 💚, 💛, 🤍, 🩷, 🩵",pujian,"Berbagai warna hati, cinta, dukungan."
💞,pujian,"Hati berputar/meledak, cinta yang kuat."
"♥️, ❤, ❤️",pujian,"Hati merah, cinta."
❤️‍🔥,pujian,"Hati terbakar, cinta yang kuat atau hasrat."
💐,pujian,"Buket bunga, hadiah, selamat."
"🌷, 🌸, 🌹, 🌺, 🌻",pujian,"Berbagai bunga, keindahan, hadiah, selamat."
🍓,pujian,Buah stroberi (makanan enak).
"🍱, 🍽",pujian,Makanan/bersantap (makanan enak).
"🎁, 🎂, 🎉",pujian,"Hadiah, kue, confetti (perayaan, selamat)."
🎶,pujian,"Musik, menikmati."
"✔️, ✅",pujian,"Centang/Tanda benar, setuju, sukses."
💯,pujian,"Skor 100, sempurna, bagus sekali."
⭐,pujian,"Bintang, penilaian tinggi, terbaik."
✨,pujian,"Kilauan, keajaiban, luar biasa."
💪,pujian,"Lengan berotot, kuat, semangat."
💡,pujian,"Lampu, ide bagus, wawasan."
"🏆, 🏅",pujian,"Piala/Medali, kemenangan, pencapaian."
💔,keluhan,"Hati patah, kesedihan/kehilangan cinta."
☹️,keluhan,"Wajah cemberut, kesedihan."
😏,keluhan,"Senyum sinis/meremehkan, puas diri, smirk."
😒,keluhan,Wajah tidak terkesan/terganggu.
😓,keluhan,"Keringat dingin, khawatir, sedih, bekerja keras."
😔,keluhan,"Wajah termenung, sedih, kecewa."
😖,keluhan,"Wajah bingung/merasa tidak enak, kesulitan."
😞,keluhan,"Wajah sedih, kekecewaan."
😠,keluhan,Wajah marah.
😡,keluhan,"Wajah merah karena marah, kemarahan yang hebat."
😢,keluhan,"Menangis, kesedihan."
😣,keluhan,"Wajah gigit bibir, berjuang keras, frustrasi."
😤,keluhan,"Uap dari hidung, marah, kesal."
😥,keluhan,Sedih dan lega (sedih yang bercampur kelegaan).
😧,keluhan,"Wajah kesakitan, terkejut, menderita."
😩,keluhan,"Wajah lelah, putus asa."
😪,keluhan,"Tidur dengan air liur/ingus, mengantuk, bosan."
😫,keluhan,"Sangat lelah, kelelahan."
😬,keluhan,"Wajah meringis, canggung, gugup."
😭,keluhan,"Menangis tersedu-sedu, kesedihan ekstrem."
"😮, 😮‍💨",keluhan,"Kaget/Terkejut, atau menghela napas (frustrasi/lega)."
😰,keluhan,"Keringat dingin dan cemas, takut."
😱,keluhan,"Berteriak ketakutan, terkejut."
😲,keluhan,"Terkejut, tak percaya."
😳,keluhan,"Wajah memerah, malu, terkejut."
😴,keluhan,"Tidur, bosan."
"😵, 😵‍💫",keluhan,"Pusing/Bingung, sakit, mabuk."
